idx,good_or_not,quality,alcohol,sulphates,pH,density,total sulfur dioxide,free sulfur dioxide,chlorides,residual sugar,citric acid,volatile acidity,fixed acidity
idx_10022,good,8,10.5,0.48,3.47,0.993,122.0,41.0,0.049,1.7,0.42,0.26,6.8
idx_10023,not,5,9.3,0.51,3.05,0.9937,168.0,25.0,0.07400000000000001,1.5,0.14,0.67,7.6
idx_10024,good,6,10.0,0.47,3.42,0.9951,142.0,16.0,0.052000000000000005,1.3,0.41,0.27,6.6
idx_10027,good,6,10.5,0.53,3.38,0.9961,141.0,32.0,0.051,8.7,0.39,0.28,7.0
idx_10028,good,6,11.6,0.49,3.19,0.9914,132.0,17.0,0.047,1.1,0.48,0.27,7.4
idx_10029,good,7,12.3,0.71,3.1,0.9906,114.0,37.0,0.033,2.0,0.36,0.32,7.2
idx_10030,good,6,10.0,0.53,3.2,0.9974,142.0,20.0,0.044000000000000004,10.4,0.39,0.24,8.5
idx_10031,good,6,10.2,0.4,3.47,0.9934,47.0,7.0,0.042,1.1,0.34,0.14,8.3
idx_10032,good,6,10.8,0.44,3.19,0.992,100.0,31.0,0.05,2.05,0.36,0.25,7.4
idx_10034,not,5,10.2,0.37,3.37,0.9962,179.0,22.0,0.044000000000000004,14.95,0.2,0.27,5.8
idx_10035,not,5,12.8,0.42,3.19,0.9905,123.0,21.0,0.08,1.7,0.43,0.28,7.3
idx_10037,good,6,11.2,0.28,3.13,0.9906,138.0,38.0,0.053,1.2,0.32,0.33,7.0
idx_10038,not,5,8.6,0.36,3.21,0.9999,149.0,45.0,0.057,17.95,0.39,0.24,7.3
idx_10039,not,5,8.6,0.36,3.21,0.9999,149.0,45.0,0.057,17.95,0.39,0.24,7.3
idx_10040,good,6,9.4,0.36,3.11,0.9937,158.0,63.0,0.172,2.5,0.39,0.23,6.7
idx_10042,good,6,9.8,0.46,3.13,0.9954,160.0,28.0,0.069,7.4,0.26,0.31,7.0
idx_10043,good,6,9.5,0.56,3.22,0.9934,152.0,33.0,0.057,1.4,0.27,0.24,6.6
idx_10045,good,7,10.0,0.53,3.16,0.9931,167.0,38.0,0.057999999999999996,1.4,0.31,0.18,7.4
idx_10047,not,5,9.8,0.52,3.25,0.9939,207.0,62.0,0.066,4.4,0.25,0.46,6.2
idx_10049,not,5,9.8,0.48,3.36,0.995,150.0,32.0,0.067,5.0,0.35,0.19,6.9
idx_10050,good,6,11.7,0.44,3.35,0.9917,173.0,31.0,0.062,1.6,0.31,0.19,7.2
idx_10051,good,7,11.0,0.58,3.34,0.9914,124.0,39.0,0.068,1.1,0.29,0.25,6.6
idx_10052,good,7,10.9,0.46,3.32,0.991,82.0,21.0,0.057,1.1,0.33,0.16,6.2
idx_10053,good,6,10.9,0.35,3.31,0.9911,108.0,39.0,0.045,1.0,0.35,0.18,6.4
idx_10054,good,6,9.1,0.38,3.05,0.993,132.0,38.0,0.147,0.9,0.59,0.2,6.8
idx_10055,good,6,11.0,0.52,3.13,0.9908,191.0,29.0,0.039,1.3,0.35,0.25,6.9
idx_10056,good,6,9.6,0.5,3.09,0.9962,213.0,37.0,0.043,11.9,0.34,0.21,7.2
idx_10058,good,6,10.2,0.38,3.11,0.9931,78.0,25.0,0.044000000000000004,4.6,0.15,0.38,6.6
idx_10059,good,6,9.9,0.34,3.36,0.9926,111.0,44.0,0.038,1.2,0.36,0.2,7.4
idx_10060,good,6,8.6,0.46,3.03,0.9951,123.0,30.0,0.092,4.9,0.24,0.22,6.8
idx_10061,good,6,8.9,0.36,3.3,0.9972,147.0,50.0,0.048,12.4,0.26,0.19,6.0
idx_10062,not,5,10.5,0.34,3.02,0.991,151.0,17.0,0.035,1.1,0.07,0.47,7.0
idx_10063,good,6,10.2,0.38,3.11,0.9931,78.0,25.0,0.044000000000000004,4.6,0.15,0.38,6.6
idx_10067,not,5,9.8,0.42,3.14,0.992,174.0,81.0,0.040999999999999995,1.2,0.13,0.25,6.7
idx_10069,not,5,9.5,0.35,3.13,0.9962,105.0,21.0,0.05,10.1,0.29,0.24,7.4
idx_10070,good,6,9.0,0.51,3.1,0.9956,244.0,48.0,0.055999999999999994,7.8,0.43,0.27,6.2
idx_10071,not,5,9.5,0.6,3.32,0.9958,238.5,50.5,0.061,4.6,0.23,0.3,6.8
idx_10072,not,5,10.0,0.71,3.69,0.9964,201.0,31.0,0.063,4.8,0.28,0.27,6.0
idx_10073,good,6,9.1,0.49,2.95,0.9941,72.0,9.0,0.054000000000000006,1.0,0.46,0.23,8.6
idx_10074,good,8,10.7,0.64,3.33,0.9926,96.0,30.0,0.046,2.1,0.31,0.23,6.7
idx_10075,not,5,9.5,0.35,3.13,0.9962,105.0,21.0,0.05,10.1,0.29,0.24,7.4
idx_10077,good,7,12.0,0.65,3.31,0.9912,69.0,20.0,0.042,1.3,0.34,0.32,7.0
idx_10078,not,5,9.3,0.56,2.94,0.9961,103.0,26.0,0.064,8.8,0.3,0.18,7.4
idx_10079,not,5,9.0,0.37,3.27,0.9949,105.0,21.0,0.06,5.4,0.28,0.54,6.7
idx_10080,good,6,10.6,0.77,3.39,0.9929,114.0,34.0,0.053,1.4,0.31,0.22,6.8
idx_10081,good,6,9.2,0.6,3.21,0.9985,166.0,51.0,0.05,16.0,0.34,0.2,7.1
idx_10082,not,5,10.0,0.42,3.17,0.9946,164.0,47.0,0.063,6.1,0.2,0.34,7.1
idx_10083,good,6,9.5,0.46,3.33,0.9966,207.0,42.0,0.047,8.2,0.3,0.22,7.3
idx_10084,not,5,8.7,0.45,3.11,0.9974,155.0,54.0,0.045,11.8,0.61,0.43,7.1
idx_10085,good,6,8.7,0.46,3.12,0.9975,152.0,52.0,0.044000000000000004,11.8,0.62,0.44,7.1
idx_10087,good,6,9.7,0.48,3.22,0.9972,202.0,69.0,0.05,13.3,0.31,0.25,6.8
idx_10088,not,5,8.7,0.45,3.11,0.9974,155.0,54.0,0.045,11.8,0.61,0.43,7.1
idx_10089,good,6,8.7,0.46,3.12,0.9975,152.0,52.0,0.044000000000000004,11.8,0.62,0.44,7.1
idx_10090,good,6,8.7,0.44,3.09,0.9974,156.0,55.0,0.044000000000000004,11.0,0.63,0.39,7.2
idx_10091,not,5,9.0,0.47,3.12,0.9957,243.0,65.0,0.049,7.5,0.43,0.27,6.1
idx_10092,good,7,12.6,0.4,3.26,0.99,136.0,47.0,0.035,1.7,0.33,0.24,6.9
idx_10093,good,7,12.6,0.41,3.25,0.9899,136.0,48.0,0.034,1.8,0.33,0.21,6.9
idx_10094,good,7,11.5,0.44,3.21,0.9916,148.0,51.0,0.04,1.7,0.32,0.17,7.5
idx_10095,good,6,9.2,0.42,3.04,0.9969,240.0,62.0,0.044000000000000004,12.4,0.29,0.26,7.1
idx_10096,good,6,8.8,0.5,3.14,0.9979,164.0,26.0,0.046,15.9,0.66,0.34,6.0
idx_10098,not,4,10.1,0.3,2.89,0.9956,83.0,4.0,0.038,10.5,0.46,0.36,9.8
idx_10099,good,6,8.8,0.5,3.14,0.9979,164.0,26.0,0.046,15.9,0.66,0.34,6.0
idx_10100,not,5,9.1,0.44,3.0,0.9975,192.0,52.0,0.06,13.5,0.37,0.25,7.4
idx_10101,not,5,9.4,0.41,3.4,0.9962,162.0,64.0,0.054000000000000006,9.6,0.32,0.12,7.1
idx_10102,not,5,9.4,0.39,3.34,0.997,164.0,55.0,0.05,12.1,0.24,0.21,6.0
idx_10103,not,5,9.0,0.46,2.99,1.0,170.0,44.0,0.059000000000000004,18.9,0.4,0.305,7.5
idx_10104,not,5,9.1,0.44,3.0,0.9975,192.0,52.0,0.06,13.5,0.37,0.25,7.4
idx_10105,good,6,9.2,0.35,3.2,0.9974,109.0,34.0,0.051,14.4,0.32,0.13,7.3
idx_10106,not,5,9.4,0.41,3.4,0.9962,162.0,64.0,0.054000000000000006,9.6,0.32,0.12,7.1
idx_10108,good,6,9.1,0.59,3.16,0.9990000000000001,171.0,60.0,0.04,16.5,0.35,0.23,7.1
idx_10109,not,5,10.3,0.6,3.27,0.9927,187.0,37.0,0.051,1.3,0.28,0.33,6.9
idx_10110,good,6,8.8,0.39,2.89,0.9959,163.0,64.0,0.08199999999999999,8.5,0.54,0.17,6.5
idx_10114,not,5,9.1,0.51,3.22,0.9968,150.0,29.0,0.049,9.2,0.34,0.41,6.7
idx_10115,not,4,9.7,0.4,3.63,0.9940000000000001,103.0,8.0,0.065,1.5,0.0,0.485,5.5
idx_10116,good,6,11.3,0.44,3.31,0.9914,143.0,25.0,0.040999999999999995,3.3,0.24,0.31,6.0
idx_10117,good,6,11.8,0.42,3.19,0.9911,85.0,16.0,0.035,1.7,0.4,0.14,7.0
idx_10119,not,5,9.2,0.5,3.04,0.9982,196.0,57.0,0.06,13.3,0.48,0.32,7.3
idx_10120,not,5,10.2,0.51,3.22,0.9934,87.0,21.0,0.046,5.7,0.04,0.36,5.9
idx_10121,not,5,8.8,0.54,3.01,0.9984,138.0,42.0,0.054000000000000006,12.2,0.32,0.24,7.8
